Post ID,Platform,Engagement Type,User ID,Engagement Count,Post Date
1,Twitter,Like,1676,205,2023-01-24
2,LinkedIn,Share,1222,886,2016-01-15
3,LinkedIn,Share,1915,625,2024-11-16
4,Facebook,Share,4574,718,2019-10-23
5,Instagram,Comment,4536,196,2022-10-24
6,Twitter,Like,4777,292,2018-05-12
7,Facebook,Share,2758,429,2021-05-17
8,LinkedIn,Like,1201,6,2025-01-20
9,Facebook,Like,3110,121,2017-03-30
10,Twitter,Like,1491,699,2017-08-13
11,Instagram,Like,2134,797,2017-01-06
12,LinkedIn,Like,4117,767,2020-10-14
13,LinkedIn,Share,721,298,2016-05-21
14,Instagram,Like,2954,967,2021-01-08
15,LinkedIn,Like,1943,65,2021-11-03
16,LinkedIn,Share,1234,439,2024-10-14
17,Twitter,Comment,742,472,2017-04-26
18,Twitter,Like,2447,792,2020-01-23
19,Twitter,Comment,812,115,2018-05-04
20,Twitter,Share,3498,255,2024-01-09
21,Facebook,Like,3599,30,2017-01-04
22,Instagram,Comment,1545,454,2017-07-27
23,Instagram,Like,2946,163,2022-10-21
24,Facebook,Like,482,879,2022-01-13
25,Instagram,Comment,4382,762,2020-07-29
26,LinkedIn,Like,2478,56,2020-08-24
27,Facebook,Share,4254,42,2019-12-31
28,LinkedIn,Like,459,31,2024-08-30
29,Instagram,Like,4205,823,2020-11-13
30,Instagram,Comment,3349,70,2024-01-10
31,Instagram,Like,3377,861,2022-06-08
32,Instagram,Comment,1045,327,2022-09-23
33,Facebook,Comment,2280,519,2019-02-20
34,Twitter,Like,1718,725,2020-05-18
35,LinkedIn,Comment,1653,943,2021-07-15
36,Twitter,Like,1000,629,2017-03-03
37,Facebook,Comment,1404,643,2021-08-10
38,Facebook,Comment,4296,110,2020-11-12
39,Facebook,Comment,844,614,2016-03-09
40,LinkedIn,Share,3404,194,2020-07-10
41,LinkedIn,Comment,4858,724,2020-06-08
42,LinkedIn,Comment,2483,634,2020-09-17
43,Twitter,Like,3261,273,2016-02-10
44,LinkedIn,Share,3716,941,2024-10-06
45,Twitter,Share,2586,5,2017-05-26
46,Twitter,Comment,2030,343,2022-10-29
47,Instagram,Comment,973,210,2019-06-14
48,Facebook,Comment,2331,676,2017-03-19
49,Instagram,Like,540,884,2020-04-07
50,LinkedIn,Comment,4546,62,2018-08-06
51,Twitter,Share,1912,59,2020-09-26
52,Instagram,Like,3928,603,2023-01-28
53,Twitter,Share,478,969,2017-11-08
54,LinkedIn,Comment,4867,353,2021-08-23
55,Twitter,Comment,4480,860,2023-09-05
56,Facebook,Share,3226,546,2022-04-26
57,Instagram,Like,1310,503,2019-02-10
58,Facebook,Like,3117,478,2018-07-16
59,LinkedIn,Like,2796,312,2021-04-26
60,Facebook,Comment,2335,118,2019-01-05
61,Instagram,Share,2310,112,2019-12-25
62,Instagram,Share,3480,102,2025-01-05
63,Facebook,Like,2067,986,2016-06-19
64,Twitter,Like,2056,964,2022-12-10
65,Twitter,Comment,1735,102,2015-04-02
66,LinkedIn,Comment,3027,65,2017-01-16
67,Facebook,Share,2369,981,2024-10-16
68,Instagram,Share,4890,869,2015-07-21
69,Instagram,Share,1691,970,2020-10-09
70,Twitter,Share,2457,103,2020-07-04
71,LinkedIn,Share,1774,627,2021-02-09
72,LinkedIn,Share,3766,481,2018-04-22
73,LinkedIn,Comment,2946,394,2023-01-31
74,Twitter,Like,1036,592,2022-08-18
75,Twitter,Share,4681,113,2015-05-09
76,Instagram,Share,4546,215,2017-11-16
77,LinkedIn,Like,3462,663,2016-12-28
78,Twitter,Share,1389,25,2024-05-28
79,Instagram,Comment,622,294,2024-05-29
80,Facebook,Comment,2133,841,2019-12-28
81,LinkedIn,Comment,3620,251,2019-08-17
82,Instagram,Like,2547,947,2023-12-12
83,Instagram,Share,671,71,2020-07-22
84,Twitter,Comment,3128,966,2021-05-27
85,Twitter,Share,2242,382,2023-08-25
86,LinkedIn,Share,2798,451,2019-06-27
87,LinkedIn,Like,2177,347,2024-07-24
88,Twitter,Comment,3935,459,2023-11-06
89,Instagram,Like,4210,962,2018-09-13
90,Twitter,Like,3173,212,2020-05-30
91,LinkedIn,Comment,4421,958,2016-08-10
92,Facebook,Share,2701,778,2017-03-15
93,Instagram,Like,4009,2,2022-06-15
94,Twitter,Like,3638,172,2015-04-19
95,Facebook,Share,4931,216,2020-01-31
96,Facebook,Like,2363,789,2020-12-04
97,Instagram,Comment,4995,870,2015-06-18
98,Twitter,Comment,4002,987,2021-08-18
99,Facebook,Comment,4610,805,2016-09-09
100,Twitter,Like,1579,779,2017-09-23
101,LinkedIn,Share,3262,1,2024-12-29
102,Twitter,Like,1491,646,2021-11-12
103,Instagram,Like,3753,239,2019-01-12
104,Twitter,Share,4437,357,2020-08-10
105,Instagram,Comment,752,921,2022-03-10
106,Instagram,Like,4513,961,2019-07-28
107,Facebook,Share,1015,815,2016-04-03
108,Facebook,Like,2940,163,2018-05-01
109,Twitter,Comment,2198,133,2021-06-29
110,Twitter,Like,1725,799,2017-01-10
111,Facebook,Like,1374,766,2016-05-25
112,Facebook,Comment,3275,476,2024-03-23
113,LinkedIn,Like,1958,602,2022-03-02
114,LinkedIn,Comment,3453,52,2022-01-20
115,Twitter,Like,3670,571,2022-05-01
116,Facebook,Like,4112,295,2022-08-30
117,LinkedIn,Like,1406,165,2019-10-10
118,Instagram,Like,879,875,2016-09-07
119,LinkedIn,Share,450,792,2021-01-16
120,LinkedIn,Share,4715,378,2023-06-16
121,Twitter,Comment,3537,897,2017-10-19
122,LinkedIn,Comment,3073,335,2019-07-01
123,Twitter,Share,3818,645,2021-12-07
124,Instagram,Like,1996,449,2023-03-20
125,Twitter,Like,2899,478,2022-08-11
